id,name
694,Hot BBQ
695,Jerk Chicken Sandwich
696,Kids Cheeseburger Slammer
697,Kids’ Ice Cream
698,Macaroni & Cheese
699,Mango Habanera
700,Medium
701,Mild
702,Mini Corn Dogs
703,Mini Corn Dogs (5)
704,Mozzarella Sticks
705,Naked Tenders (3)
706,Naked Tenders (6 each)
707,Naked Tenders (each )
708,Naked Tenders Wrap
709,New York Cheesecake
710,Onion Rings Basket
711,Onion Rings Regular
712,Onion Rings Regular
713,Parmesan Garlic
714,Parmesan Garlic Flatbread
715,Pepper Infusion ®
716,Popcorn Shrimp & Fish
717,Potato Wedges Basket
718,Potato Wedges Basket with cheese
719,Potato Wedges Regular
720,Potato Wedges Regular
721,Potato Wedges Regular with cheese
722,Pulled Pork Sandwich
723,Pulled Pork Slammers
724,Queso Chili Fries
725,Ribs & Boneless Wings
726,Ribs & Chicken Tenders
727,Ribs & More Ribs
728,Ribs & Popcorn Shrimp
729,Ribs & Traditional Wings
730,Roasted Garlic Mushrooms
731,Side Salad
732,Side Salad
733,Southwest Chicken Queso Wrap
734,Spicy garlic
735,Sweet BBQ
736,Teriyaki
737,The Sampler
738,Tortilla chips and salsa
739,Tortilla chips and salsa
740,Traditional Wings (4)
741,Ultimate Nachos
742,Ultimate Nachos With Chicken
743,Wild®
744,Wings (each)
745,American Original Chicken Sandwich
746,Bacon Cheeseburger
747,"Bacon, Egg & Cheese Biscuit"
748,Biscuit – w/ Chicken Fritter (Chicken Biscuit)
749,Biscuits (2) & Sausage Gravy Platter
750,Biscuit‐ w/ Breakfast Steak (Country Fried Steak)
751,Biscuit‐ w/ Country Ham (1 sl) & Egg and Cheese
752,BK Big Fish® Sandwich
753,BK Big Fish® Sandwich w/o Tartar Sauce
754,BK Toppers™ Deluxe Cheeseburger
755,BK Toppers™ Mushroom and Swiss
756,BK Toppers™ Western BBQ Cheeseburger
757,BK Veggie® Burger
758,BK Veggie® Burger  w/ Cheese
759,BK Veggie® Burger  w/o Mayo
760,BK® Chicken Fries (12 pc)
761,BK® Chicken Fries (6 pc)
762,BK® Chicken Fries (9 pc)
763,BK® Double Stacker
764,BK® Fresh Apple Fries
765,BK® Kids Breakfast Muffin Sandwich
766,BK® Quad Stacker
767,BK® Single Stacker
768,BK® Triple Stacker
769,BK®Chef’s Choice Burger
770,BK®Egg and Cheese Muffin
771,BK™ Breakfast Bowl
772,"BK™ Breakfast Burrito ‐ Bacon, Egg, Cheese, & Salsa"
773,"BK™ Breakfast Burrito ‐ Potato, Egg, Cheese, & Salsa"
774,"BK™ Breakfast Burrito ‐ Sausage, Egg, Cheese & Salsa"
775,BK™ Breakfast Ciabatta Club Sandwich
776,BK™ Breakfast Platter
777,BK™ Ultimate Breakfast Platter
778,Brownie Sundae
779,Caramel Sundae
780,Cheeseburger
781,Cheesy Bacon BK Wrapper®
782,Chicken Tenders® (20 pc)
783,Chicken Tenders® (4 pc)
784,Chicken Tenders® (6 pc)
785,Chicken Tenders® (8 pc)
786,Chicken Tenders® Sandwich
787,Chocolate Chip Cookies (2)
788,Chocolate Fudge Sundae
789,Chocolate Milk Shake
790,Chocolate Milk Shake
791,Chocolate Milk Shake
792,Cini‐minis (4 minis)
793,Country Pork Sandwich
794,"Croissan’wich® Bacon, Egg & Cheese"
795,Croissan’wich® Egg & Cheese
796,"Croissan’wich® Ham, Egg & Cheese"
797,Croissan’wich® Sausage & Cheese
798,"Croissan’wich® Sausage, Egg & Cheese"
799,Double Bacon Cheeseburger
800,Double Cheeseburger
801,"Double Croissan’wich™ w/ Bacon, Egg, & Cheese"
802,"Double Croissan’wich™ w/ Ham, Bacon, Egg, & Cheese"
803,"Double Croissan’wich™ w/ Ham, Sausage, Egg, & Cheese"
804,"Double Croissan’wich™ w/ Sausage, Bacon, Egg, & Cheese"
805,"Double Croissan’wich™ w/ Sausage, Egg, & Cheese"
806,Double Hamburger
807,Double Whopper® Sandwich
808,Double Whopper® Sandwich w/o Mayo
809,Double Whopper® Sandwich with Cheese
810,Double Whopper® Sandwich with Cheese w/o Mayo
811,Dutch Apple Pie
812,Enormous Omelet Sandwich
813,Fanta Cherry frozen concentrated beverage
814,Fanta Cherry frozen concentrated beverage
815,French Fries – large (Salted)
816,French Fries – medium (Salted)
817,French Fries – small (Salted)
818,French Fries – value (Salted)
819,French Toast Sticks (3 piece)
820,French Toast Sticks (5 piece)
821,French Toast Sticks Platter w/ Bacon & Breakfast Syrup
