id,name
2417,Three Cheese Baked Ravioli
2418,Toasted Ravioli (Six)
2419,Toasted Ravioli (Twelve)
2420,Triple Cheese
2421,Triple Cheese
2422,Turtle Cheesecake
2423,Tuscan Chicken
2424,Twice-Baked Lasagna
2425,Ultimate Meatball Smasher
2426,Ultimate Sampler
2427,Vegetable Fresco
2428,Vegetable Fresco
2429,Whole Wheat Penne with Alfredo
2430,Whole Wheat Penne with Marinara
2431,Whole Wheat Penne with Meat Sauce
2432,Bacon Burger
2433,Bacon Cheese Dog
2434,Bacon Cheeseburger
2435,Bacon Dog
2436,Cheese Dog
2437,Cheeseburger
2438,Grilled Cheese
2439,Hamburger
2440,Hot Dog
2441,Large Fries
2442,Little Bacon Burger
2443,Little Bacon Cheeseburger
2444,Little Cheeseburger
2445,Little Hamburger
2446,One Serving of Fries approx half of regular order
2447,Regular Fries
2448,Veggie Sandwich
2449,Apple Pie Turnover
2450,Batter Coat French Fries
2451,Buffalo Tender Sandwich
2452,Chocolate Chip Cookie
2453,Chunky Chicken Salad
2454,Chunky Chicken Salad Sandwich
2455,Classic Potato Salad
2456,Coleslaw
2457,Corn Nuggets
2458,Corn on the Cob
2459,Dirty Rice
2460,Fresh Baked Yeast Roll
2461,Fresh Brewed Iced Tea Sweetened
2462,Fresh Brewed Iced Tea Unsweetened
2463,Fried Breaded Catfish
2464,Fried Chicken Breast
2465,Fried Chicken Leg
2466,Fried Chicken Tenders
2467,Fried Chicken Thigh
2468,Fried Chicken Wing
2469,Fried Okra
2470,Golden Roast Chicken Breast
2471,Golden Roast Chicken Leg
2472,Golden Roast Chicken Thigh
2473,Golden Roast Chicken Wing
2474,Golden Tender Sandwich
2475,Green Beans
2476,Mac & Cheese
2477,Mashed Potatoes
2478,Minute Maid Raspberry Lemonade
2479,Mozzarella Sticks
2480,Oatmeal Raisin Cookie
2481,Southwest Style Pinto Beans
2482,Tropical Fruit Salad
2483,White Chocolate Macadamia Nut Cookie
2484,White Cream Peppered Gravy
