id,calories,carbs,fat
3704,210,19.0,6
3705,240,13.0,14
3706,310,8.0,16
3707,35,7.0,0
3708,70,13.0,0
3709,180,10.0,9
3710,420,43.0,21
3711,170,18.0,5
3712,190,19.0,9
3713,380,86.0,0
3714,160,12.0,6
3715,380,40.0,17
3716,390,44.0,21
3717,440,53.0,18
3718,160,22.0,7
3719,120,22.0,1
3720,80,15.0,1
3721,370,33.0,20
3722,630,57.0,34
3723,510,56.0,18
3724,340,38.0,12
3725,80,21.0,0
3726,450,80.0,12
3727,330,55.0,6
3728,610,54.0,28
3729,490,54.0,19
3730,650,55.0,32
3731,160,22.0,4
3732,160,23.0,4
3733,510,43.0,25
3734,130,26.0,2
3735,350,33.0,21
3736,250,24.0,15
3737,550,68.0,28
3738,330,68.0,1
3739,340,31.0,15
3740,0,0.0,0
3741,0,0.0,0
3742,0,0.0,0
3743,0,0.0,0
3744,300,21.0,19
3745,200,14.0,12
3746,120,11.0,4
3747,380,50.0,16
3748,420,59.0,19
3749,120,11.0,4
3750,600,97.0,22
3751,420,53.0,18
3752,590,86.0,24
3753,200,33.0,4
3754,400,44.0,22
3755,430,60.0,18
3756,70,2.0,6
3757,130,4.0,11
3758,370,69.0,6
3759,320,46.0,14
3760,440,59.0,23
3761,110,15.0,6
3762,410,47.0,23
3763,150,27.0,2
3764,610,76.0,30
3765,470,53.0,25
3766,220,25.0,12
3767,430,80.0,8
3768,170,32.0,3
3769,630,91.0,24
3770,320,64.0,2
3771,650,122.0,13
3772,5,0.0,0
3773,5,0.0,0
3774,5,0.0,0
3775,5,0.0,0
3776,5,0.0,0
3777,5,0.0,0
3778,220,32.0,9
3779,140,27.0,0
3780,140,28.0,0
3781,480,71.0,19
3782,310,29.0,17
3783,220,20.0,12
3784,380,36.0,23
3785,300,29.0,18
3786,470,76.0,18
3787,160,16.0,9
3788,460,62.0,22
3789,390,43.0,15
3790,300,59.0,2
3791,180,28.0,4
3792,160,23.0,5
3793,480,37.0,29
3794,150,30.0,1
3795,180,36.0,1
3796,300,32.0,17
3797,140,28.0,0
3798,210,25.0,10
3799,180,20.0,9
3800,350,67.0,5
3801,670,69.0,31
3802,360,45.0,17
3803,60,17.0,0
3804,700,64.0,27
3805,450,33.0,24
3806,800,83.0,29
3807,500,50.0,22
3808,390,25.0,27
3809,510,29.0,29
3810,720,69.0,32
3811,830,72.0,37
3812,500,11.0,36
3813,790,35.0,54
3814,170,18.0,11
3815,860,87.0,36
3816,850,79.0,38
3817,560,36.0,34
3818,370,14.0,34
3819,980,95.0,41
3820,580,29.0,38
3821,590,96.0,13
3822,690,90.0,26
3823,780,78.0,33
3824,550,16.0,39
3825,820,38.0,57
3826,920,79.0,49
3827,590,64.0,17
3828,420,66.0,3
3829,710,68.0,26
3830,970,111.0,33
3831,880,96.0,32
3832,470,45.0,19
3833,770,96.0,29
3834,510,65.0,16
3835,350,32.0,14
3836,230,17.0,12
3837,400,42.0,14
3838,250,25.0,11
3839,200,13.0,14
3840,260,14.0,15
3841,360,35.0,16
3842,420,36.0,19
3843,250,5.0,18
3844,390,17.0,27
3845,80,9.0,5
3846,430,44.0,18
3847,430,39.0,19
3848,280,18.0,17
3849,190,7.0,17
3850,490,47.0,21
3851,290,15.0,19
3852,300,48.0,6
3853,340,45.0,13
3854,390,39.0,17
3855,270,8.0,20
3856,410,19.0,28
3857,460,39.0,25
3858,290,32.0,8
3859,210,33.0,1
3860,360,34.0,13
3861,480,56.0,16
3862,440,48.0,16
3863,230,22.0,10
3864,380,48.0,15
3865,260,33.0,8
3866,490,37.0,30
3867,170,30.0,3
3868,380,50.0,16
3869,220,38.0,6
3870,160,26.0,3
3871,130,33.0,0
3872,310,56.0,3
3873,590,57.0,25
3874,470,57.0,16
3875,630,58.0,29
3876,500,57.0,17
3877,160,41.0,0
3878,300,65.0,1
3879,150,26.0,5
3880,100,18.0,3
3881,230,51.0,1
3882,260,59.0,1
3883,290,67.0,1
3884,240,50.0,2
3885,170,35.0,2
3886,330,61.0,10
3887,410,47.0,15
3888,400,66.0,14
3889,570,94.0,20
3890,630,27.0,54
3891,420,18.0,36
3892,390,62.0,14
3893,200,46.0,0
3894,110,26.0,0
3895,550,81.0,21
3896,180,27.0,7
3897,120,29.0,0
3898,170,25.0,5
3899,120,12.0,4
3900,320,35.0,10
3901,300,35.0,9
3902,290,35.0,8
3903,360,46.0,13
3904,490,37.0,30
3905,60,11.0,0
3906,410,56.0,18
3907,160,19.0,8
3908,230,30.0,10
3909,470,53.0,26
3910,740,89.0,40
3911,5,1.0,0
3912,290,59.0,1
3913,100,1.0,10
3914,180,2.0,18
3915,290,45.0,11
3916,590,91.0,22
3917,80,3.0,6
3918,140,6.0,11
3919,400,37.0,25
3920,90,18.0,2
3921,260,26.0,15
3922,340,49.0,7
3923,170,2.0,2
3924,440,16.0,27
3925,160,5.0,9
3926,280,7.0,21
3927,210,8.0,14
3928,420,13.0,27
3929,170,5.0,10
3930,260,8.0,18
3931,210,8.0,14
3932,290,21.0,17
3933,260,30.0,14
3934,770,89.0,41
3935,170,25.0,5
3936,510,75.0,15
3937,460,27.0,29
3938,140,21.0,4
3939,220,20.0,11
3940,490,47.0,26
3941,1190,65.0,80
3942,660,61.0,34
3943,220,19.0,15
3944,660,58.0,46
3945,190,37.0,2
3946,690,43.0,45
3947,510,41.0,29
3948,40,6.0,1
3949,120,18.0,4
3950,370,80.0,5
3951,360,41.0,20
3952,320,40.0,6
3953,350,41.0,19
3954,310,33.0,13
3955,200,26.0,7
3956,600,78.0,21
3957,310,32.0,19
3958,110,18.0,4
3959,330,54.0,12
3960,340,26.0,14
3961,280,51.0,7
3962,150,10.0,9
3963,230,14.0,14
3964,280,25.0,19
3965,560,50.0,38
3966,830,74.0,56
3967,330,28.0,9
3968,230,23.0,14
3969,690,69.0,42
3970,510,42.0,33
3971,540,41.0,36
3972,690,66.0,42
3973,410,52.0,21
3974,310,16.0,15
3975,1060,101.0,48
3976,780,73.0,36
3977,500,46.0,23
3978,970,82.0,47
3979,1350,113.0,65
3980,590,51.0,29
3981,680,5.0,28
3982,380,3.0,16
3983,260,25.0,11
3984,1050,115.0,41
3985,770,84.0,30
3986,500,52.0,20
3987,220,24.0,9
3988,740,106.0,22
3989,270,24.0,14
3990,180,17.0,9
3991,1210,104.0,54
3992,870,75.0,40
3993,530,47.0,25
3994,810,60.0,39
3995,460,34.0,23
3996,1280,95.0,61
3997,920,69.0,44
3998,550,43.0,27
3999,210,26.0,7
4000,140,19.0,4
4001,840,115.0,24
4002,430,40.0,17
4003,280,27.0,11
4004,400,54.0,20
4005,510,73.0,22
4006,1150,99.0,61
4007,850,72.0,45
4008,540,45.0,29
4009,620,13.0,52
4010,310,7.0,26
4011,930,66.0,60
4012,1110,102.0,52
4013,810,75.0,38
4014,520,47.0,25
4015,1200,101.0,66
4016,880,74.0,48
4017,560,48.0,30
4018,750,60.0,36
4019,430,34.0,21
4020,510,56.0,29
4021,260,28.0,14
4022,820,109.0,37
4023,1080,114.0,46
4024,770,81.0,33
4025,480,51.0,21
4026,720,27.0,56
4027,360,14.0,28
4028,1030,80.0,64
4029,790,3.0,45
4030,480,2.0,28
4031,550,18.0,50
4032,350,10.0,32
4033,860,71.0,58
4034,1020,98.0,57
4035,760,75.0,41
4036,480,47.0,25
4037,260,31.0,10
4038,340,66.0,8
4039,1250,104.0,72
4040,950,77.0,56
4041,360,28.0,21
4042,590,48.0,35
4043,770,18.0,63
4044,390,9.0,32
4045,1080,71.0,71
4046,1190,99.0,53
4047,850,72.0,38
4048,510,45.0,24
4049,330,27.0,19
4050,740,15.0,62
4051,370,7.0,31
4052,1050,68.0,70
4053,1110,99.0,57
4054,810,72.0,42
4055,520,45.0,26
4056,1080,98.0,43
4057,770,71.0,31
4058,450,44.0,18
4059,1110,99.0,57
4060,890,80.0,45
4061,560,50.0,28
4062,190,26.0,9
4063,250,24.0,12
4064,610,61.0,25
4065,360,35.0,15
4066,980,99.0,44
4067,720,72.0,32
